State,Date,Energy Demand (MWh)
Connecticut,1/1/2011 0:00,2796.977852
Connecticut,1/1/2011 1:00,2618.271812
Connecticut,1/1/2011 2:00,2506.095916
Connecticut,1/1/2011 3:00,2473.245749
Connecticut,1/1/2011 4:00,2541.454901
Connecticut,1/1/2011 5:00,2714.972847
Connecticut,1/1/2011 6:00,2958.586773
Connecticut,1/1/2011 7:00,3205.775083
Connecticut,1/1/2011 8:00,3394.409395
Connecticut,1/1/2011 9:00,3500.809596
Connecticut,1/1/2011 10:00,3544.145223
Connecticut,1/1/2011 11:00,3560.723703
Connecticut,1/1/2011 12:00,3574.329667
Connecticut,1/1/2011 13:00,3588.754912
Connecticut,1/1/2011 14:00,3603.328543
Connecticut,1/1/2011 15:00,3628.188248
Connecticut,1/1/2011 16:00,3677.882038
Connecticut,1/1/2011 17:00,3747.40057
Connecticut,1/1/2011 18:00,3797.085744
Connecticut,1/1/2011 19:00,3767.97249
Connecticut,1/1/2011 20:00,3620.45787
Connecticut,1/1/2011 21:00,3364.85821
Connecticut,1/1/2011 22:00,3057.233575
Connecticut,1/1/2011 23:00,2764.271226
Connecticut,1/2/2011 0:00,2850.246332
Connecticut,1/2/2011 1:00,2681.57167
Connecticut,1/2/2011 2:00,2581.149399
Connecticut,1/2/2011 3:00,2561.744802
Connecticut,1/2/2011 4:00,2645.049616
Connecticut,1/2/2011 5:00,2835.249407
Connecticut,1/2/2011 6:00,3097.036861
Connecticut,1/2/2011 7:00,3363.769175
Connecticut,1/2/2011 8:00,3573.185321
Connecticut,1/2/2011 9:00,3701.475826
Connecticut,1/2/2011 10:00,3767.686957
Connecticut,1/2/2011 11:00,3807.999623
Connecticut,1/2/2011 12:00,3846.057875
Connecticut,1/2/2011 13:00,3885.497171
Connecticut,1/2/2011 14:00,3925.482293
Connecticut,1/2/2011 15:00,3975.986348
Connecticut,1/2/2011 16:00,4051.391479
Connecticut,1/2/2011 17:00,4146.513038
Connecticut,1/2/2011 18:00,4221.503679
Connecticut,1/2/2011 19:00,4217.203027
Connecticut,1/2/2011 20:00,4093.824137
Connecticut,1/2/2011 21:00,3861.524657
Connecticut,1/2/2011 22:00,3576.231138
Connecticut,1/2/2011 23:00,3304.509679
Connecticut,1/3/2011 0:00,3088.33819
Connecticut,1/3/2011 1:00,2938.351183
Connecticut,1/3/2011 2:00,2855.16479
Connecticut,1/3/2011 3:00,2851.446145
Connecticut,1/3/2011 4:00,2948.806342
Connecticut,1/3/2011 5:00,3151.357821
Connecticut,1/3/2011 6:00,3423.719336
Connecticut,1/3/2011 7:00,3699.177128
Connecticut,1/3/2011 8:00,3915.417018
Connecticut,1/3/2011 9:00,4048.608177
Connecticut,1/3/2011 10:00,4117.809061
Connecticut,1/3/2011 11:00,4159.235638
Connecticut,1/3/2011 12:00,4196.577443
Connecticut,1/3/2011 13:00,4233.522273
Connecticut,1/3/2011 14:00,4269.299739
Connecticut,1/3/2011 15:00,4313.965664
Connecticut,1/3/2011 16:00,4381.999227
Connecticut,1/3/2011 17:00,4468.316298
Connecticut,1/3/2011 18:00,4533.166207
Connecticut,1/3/2011 19:00,4517.486366
Connecticut,1/3/2011 20:00,4381.603108
Connecticut,1/3/2011 21:00,4135.813862
Connecticut,1/3/2011 22:00,3836.208289
Connecticut,1/3/2011 23:00,3549.523125
Connecticut,1/4/2011 0:00,3317.898605
Connecticut,1/4/2011 1:00,3152.118994
Connecticut,1/4/2011 2:00,3052.94479
Connecticut,1/4/2011 3:00,3033.189639
Connecticut,1/4/2011 4:00,3114.610634
Connecticut,1/4/2011 5:00,3301.453618
Connecticut,1/4/2011 6:00,3558.447971
Connecticut,1/4/2011 7:00,3818.969957
Connecticut,1/4/2011 8:00,4020.788326
Connecticut,1/4/2011 9:00,4140.161031
Connecticut,1/4/2011 10:00,4196.242178
Connecticut,1/4/2011 11:00,4225.339136
Connecticut,1/4/2011 12:00,4251.216012
Connecticut,1/4/2011 13:00,4277.614953
Connecticut,1/4/2011 14:00,4303.805809
Connecticut,1/4/2011 15:00,4339.876688
Connecticut,1/4/2011 16:00,4400.328575
Connecticut,1/4/2011 17:00,4480.079145
Connecticut,1/4/2011 18:00,4539.353752
Connecticut,1/4/2011 19:00,4519.046796
Connecticut,1/4/2011 20:00,4379.43892
Connecticut,1/4/2011 21:00,4130.792355
