load_MW,SystemLoadBtmPv,NativeLoadBtmPv,timestamp,ba_name,market,freq
11620.715,11620.715,11364.615,2019-07-01 04:00:00+00:00,ISONE,RT5M,5m
11592.648,11592.648,11336.748,2019-07-01 04:05:00+00:00,ISONE,RT5M,5m
11533.239,11533.239,11263.439,2019-07-01 04:10:00+00:00,ISONE,RT5M,5m
11442.684,11442.684,11157.184,2019-07-01 04:15:00+00:00,ISONE,RT5M,5m
11647.588,11647.588,11107.688,2019-07-01 04:20:00+00:00,ISONE,RT5M,5m
11591.229,11591.229,11041.729,2019-07-01 04:25:00+00:00,ISONE,RT5M,5m
11526.191,11526.191,10983.991,2019-07-01 04:30:00+00:00,ISONE,RT5M,5m
11480.426,11480.426,10933.226,2019-07-01 04:35:00+00:00,ISONE,RT5M,5m
11429.151,11429.151,10886.951,2019-07-01 04:40:00+00:00,ISONE,RT5M,5m
11340.716,11340.716,10795.116,2019-07-01 04:45:00+00:00,ISONE,RT5M,5m
11296.809,11296.809,10757.509,2019-07-01 04:50:00+00:00,ISONE,RT5M,5m
11250.582,11250.582,10709.382,2019-07-01 04:55:00+00:00,ISONE,RT5M,5m
11240.697,11240.697,10681.397,2019-07-01 05:00:00+00:00,ISONE,RT5M,5m
11213.851,11213.851,10666.251,2019-07-01 05:05:00+00:00,ISONE,RT5M,5m
11367.957,11367.957,10565.257,2019-07-01 05:10:00+00:00,ISONE,RT5M,5m
11363.178,11363.178,10539.178,2019-07-01 05:15:00+00:00,ISONE,RT5M,5m
11559.605,11559.605,10506.705,2019-07-01 05:20:00+00:00,ISONE,RT5M,5m
11530.623,11530.623,10469.923,2019-07-01 05:25:00+00:00,ISONE,RT5M,5m
11488.742,11488.742,10428.342,2019-07-01 05:30:00+00:00,ISONE,RT5M,5m
11471.282,11471.282,10402.082,2019-07-01 05:35:00+00:00,ISONE,RT5M,5m
11441.505,11441.505,10371.705,2019-07-01 05:40:00+00:00,ISONE,RT5M,5m
11418.155,11418.155,10355.455,2019-07-01 05:45:00+00:00,ISONE,RT5M,5m
11398.59,11398.59,10332.19,2019-07-01 05:50:00+00:00,ISONE,RT5M,5m
11347.895,11347.895,10282.795,2019-07-01 05:55:00+00:00,ISONE,RT5M,5m
11360.339,11360.339,10301.839,2019-07-01 06:00:00+00:00,ISONE,RT5M,5m
11552.449,11552.449,10251.249,2019-07-01 06:05:00+00:00,ISONE,RT5M,5m
11546.986,11546.986,10231.886,2019-07-01 06:10:00+00:00,ISONE,RT5M,5m
11489.956,11489.956,10186.156,2019-07-01 06:15:00+00:00,ISONE,RT5M,5m
11471.395,11471.395,10162.595,2019-07-01 06:20:00+00:00,ISONE,RT5M,5m
11438.242,11438.242,10136.442,2019-07-01 06:25:00+00:00,ISONE,RT5M,5m
11415.963,11415.963,10113.363,2019-07-01 06:30:00+00:00,ISONE,RT5M,5m
11412.944,11412.944,10109.944,2019-07-01 06:35:00+00:00,ISONE,RT5M,5m
11386.122,11386.122,10083.722,2019-07-01 06:40:00+00:00,ISONE,RT5M,5m
11354.694,11354.694,10057.394,2019-07-01 06:45:00+00:00,ISONE,RT5M,5m
11346.933,11346.933,10045.433,2019-07-01 06:50:00+00:00,ISONE,RT5M,5m
11351.138,11351.138,10038.238,2019-07-01 06:55:00+00:00,ISONE,RT5M,5m
11372.033,11372.033,10051.433,2019-07-01 07:00:00+00:00,ISONE,RT5M,5m
11366.653,11366.653,10061.953,2019-07-01 07:05:00+00:00,ISONE,RT5M,5m
11610.139,11610.139,10027.039,2019-07-01 07:10:00+00:00,ISONE,RT5M,5m
11609.025,11609.025,10023.325,2019-07-01 07:15:00+00:00,ISONE,RT5M,5m
11588.739,11588.739,10007.739,2019-07-01 07:20:00+00:00,ISONE,RT5M,5m
11602.169,11602.169,10020.469,2019-07-01 07:25:00+00:00,ISONE,RT5M,5m
11592.966,11592.966,10010.766,2019-07-01 07:30:00+00:00,ISONE,RT5M,5m
11590.186,11590.186,10006.186,2019-07-01 07:35:00+00:00,ISONE,RT5M,5m
11593.771,11593.771,10013.271,2019-07-01 07:40:00+00:00,ISONE,RT5M,5m
11589.477,11589.477,10014.977,2019-07-01 07:45:00+00:00,ISONE,RT5M,5m
11588.487,11588.487,10009.087,2019-07-01 07:50:00+00:00,ISONE,RT5M,5m
11644.034,11644.034,10066.534,2019-07-01 07:55:00+00:00,ISONE,RT5M,5m
11655.781,11655.781,10082.981,2019-07-01 08:00:00+00:00,ISONE,RT5M,5m
11717.221,11717.221,10148.021,2019-07-01 08:05:00+00:00,ISONE,RT5M,5m
11736.018,11736.018,10162.918,2019-07-01 08:10:00+00:00,ISONE,RT5M,5m
11719.413,11719.413,10149.713,2019-07-01 08:15:00+00:00,ISONE,RT5M,5m
11745.979,11745.979,10174.879,2019-07-01 08:20:00+00:00,ISONE,RT5M,5m
11540.14,11540.14,10195.64,2019-07-01 08:25:00+00:00,ISONE,RT5M,5m
11546.866,11546.866,10216.466,2019-07-01 08:30:00+00:00,ISONE,RT5M,5m
11586.234,11588.234,10258.234,2019-07-01 08:35:00+00:00,ISONE,RT5M,5m
11628.525,11632.525,10300.225,2019-07-01 08:40:00+00:00,ISONE,RT5M,5m
11638.86,11644.86,10317.56,2019-07-01 08:45:00+00:00,ISONE,RT5M,5m
11680.475,11688.475,10364.275,2019-07-01 08:50:00+00:00,ISONE,RT5M,5m
11410.079,11420.079,10366.079,2019-07-01 08:55:00+00:00,ISONE,RT5M,5m
11472.89,11484.89,10447.59,2019-07-01 09:00:00+00:00,ISONE,RT5M,5m
11600.883,11614.883,10574.783,2019-07-01 09:05:00+00:00,ISONE,RT5M,5m
11665.616,11681.616,10632.416,2019-07-01 09:10:00+00:00,ISONE,RT5M,5m
11697.524,11715.524,10673.724,2019-07-01 09:15:00+00:00,ISONE,RT5M,5m
11752.52,11772.52,10732.02,2019-07-01 09:20:00+00:00,ISONE,RT5M,5m
